variable,0,1,2,3
10y_2y_spread,0.0010,-0.0025,-0.0001,0.0003
10y_treasury_const_maturity_rate,-0.0020,0.0001,-0.0017,-0.0023
PCE_price_index,0.0024,0.0006,0.0019,0.0023
PPI_inflation,0.0019,-0.0000,0.0011,0.0018
cpi,0.0023,0.0006,0.0018,0.0022
fed_reserve_discount_rate,-0.0042*,-0.0011,-0.0043**,-0.0042*
fedfunds,-0.0032,0.0004,-0.0026,-0.0030
gdp,0.0051,0.0043,0.0030,0.0061*
industrial_production,-0.0009,-0.0022,-0.0021,-0.0005
m2_real_money_supply,0.0025,0.0008,0.0023,0.0023
nat_fin_condition_indx,-0.0010,-0.0012,0.0002,0.0010
real_gdp,0.0048,0.0031,0.0017,0.0053
retail_sales,0.0020,0.0002,0.0011,0.0013
tot_business_inventories,0.0023,0.0008,0.0017,0.0017
unemployment,0.0045**,0.0030,0.0047**,0.0046**
