date,value,first_diff,pct_change_mom,pct_change_yoy,zscore_value,zscore_first_diff,zscore_pct_change_mom,minmax_value,minmax_first_diff,minmax_pct_change_mom
1990-01-01,7.0,0.0,0.0,7.692307692307687,0.9592711261656757,0.006521530689061703,-0.02370754433289669,0.4909090909090909,0.5714285714285714,0.30769230769230765
1990-02-01,7.0,0.0,0.0,6.221547799696503,0.9592711261656757,0.006521530689061703,-0.02370754433289669,0.4909090909090909,0.5714285714285714,0.30769230769230765
1990-03-01,7.0,0.0,0.0,0.0,0.9592711261656757,0.006521530689061703,-0.02370754433289669,0.4909090909090909,0.5714285714285714,0.30769230769230765
1990-04-01,7.0,0.0,0.0,0.0,0.9592711261656757,0.006521530689061703,-0.02370754433289669,0.4909090909090909,0.5714285714285714,0.30769230769230765
1990-05-01,7.0,0.0,0.0,0.0,0.9592711261656757,0.006521530689061703,-0.02370754433289669,0.4909090909090909,0.5714285714285714,0.30769230769230765
1990-06-01,7.0,0.0,0.0,0.0,0.9592711261656757,0.006521530689061703,-0.02370754433289669,0.4909090909090909,0.5714285714285714,0.30769230769230765
1990-07-01,7.0,0.0,0.0,0.0,0.9592711261656757,0.006521530689061703,-0.02370754433289669,0.4909090909090909,0.5714285714285714,0.30769230769230765
1990-08-01,7.0,0.0,0.0,0.0,0.9592711261656757,0.006521530689061703,-0.02370754433289669,0.4909090909090909,0.5714285714285714,0.30769230769230765
1990-09-01,7.0,0.0,0.0,0.0,0.9592711261656757,0.006521530689061703,-0.02370754433289669,0.4909090909090909,0.5714285714285714,0.30769230769230765
1990-10-01,7.0,0.0,0.0,0.0,0.9592711261656757,0.006521530689061703,-0.02370754433289669,0.4909090909090909,0.5714285714285714,0.30769230769230765
1990-11-01,7.0,0.0,0.0,0.0,0.9592711261656757,0.006521530689061703,-0.02370754433289669,0.4909090909090909,0.5714285714285714,0.30769230769230765
1990-12-01,6.79,-0.20999999999999996,-3.0000000000000027,-3.0000000000000027,0.8852717560305627,-0.9346136061108106,-0.3473548334467464,0.47563636363636363,0.5114285714285715,0.2973076923076923
1991-01-01,6.5,-0.29000000000000004,-4.270986745213545,-7.14285714285714,0.783082149653502,-1.2931412772726671,-0.48447197164274564,0.45454545454545453,0.48857142857142855,0.29290812280503
1991-02-01,6.0,-0.5,-7.692307692307687,-14.28571428571429,0.6068931731413283,-2.2342764140725393,-0.8535723882145613,0.41818181818181815,0.42857142857142855,0.2810650887573964
1991-03-01,6.0,0.0,0.0,-14.28571428571429,0.6068931731413283,0.006521530689061703,-0.02370754433289669,0.41818181818181815,0.5714285714285714,0.30769230769230765
1991-04-01,5.98,-0.019999999999999574,-0.33333333333332993,-14.57142857142857,0.5998456140808415,-0.08311038710140042,-0.059668354234435145,0.4167272727272728,0.5657142857142858,0.30653846153846154
1991-05-01,5.5,-0.4800000000000004,-8.026755852842815,-21.42857142857143,0.43070419662915466,-2.144644496282077,-0.8896534683833305,0.38181818181818183,0.43428571428571416,0.2799073835863133
1991-06-01,5.5,0.0,0.0,-21.42857142857143,0.43070419662915466,0.006521530689061703,-0.02370754433289669,0.38181818181818183,0.5714285714285714,0.30769230769230765
