variable,abs_t_stat,coefficient,t_stat,p_value,rank,horizon
growth_factor,1.5585990593422618,0.0033574370798293536,1.5585990593422618,0.1198409050624134,1,1
market_volatility_factor,1.4282773990412512,0.003103129463123513,1.4282773990412512,0.153951698647258,2,1
inflation_factor,0.8528682812426576,-0.0018203787257976664,-0.8528682812426576,0.3942161474760315,3,1
monetary_policy_factor,0.2795913634268851,-0.0005815395226286592,-0.2795913634268851,0.7799280172228995,4,1
inflation_factor,0.8726608313319478,-0.001875973224228828,-0.8726608313319478,0.3833465919415673,1,3
growth_factor,0.5671154892982478,-0.0012305387838693516,-0.5671154892982478,0.5709386896481488,2,3
market_volatility_factor,0.5549474573249592,0.0012144862962818683,0.5549474573249592,0.5792260175199577,3,3
monetary_policy_factor,0.35483799216884304,-0.0007433302036400163,-0.35483799216884304,0.7228890710792175,4,3
inflation_factor,2.19556996438445,-0.00470780492150775,-2.19556996438445,0.02867300228140457,1,6
market_volatility_factor,0.855090875326634,-0.0018666999921219938,-0.855090875326634,0.3929918540423851,2,6
monetary_policy_factor,0.7770308776222804,-0.0016242780875457656,-0.7770308776222804,0.43758111154853196,3,6
growth_factor,0.01556526346946204,-3.368591859715001e-05,-0.01556526346946204,0.9875886623361274,4,6
monetary_policy_factor,1.0613956628571635,-0.002231667659875095,-1.0613956628571635,0.28913341656298597,1,12
inflation_factor,0.7031029834521377,-0.0015161713530944714,-0.7031029834521377,0.4823896452047576,2,12
growth_factor,0.5570597594655798,0.0012131391259100563,0.5570597594655798,0.5777898207918313,3,12
market_volatility_factor,0.48813331220266204,0.0010720072769350583,0.48813331220266204,0.6257157268236346,4,12
monetary_policy_factor,1.6537296626278786,-0.0035087160537022664,-1.6537296626278786,0.09896893400836304,1,24
inflation_factor,1.1357313448184911,0.0024773783552762096,1.1357313448184911,0.25675074583495894,2,24
market_volatility_factor,0.5131309817082148,0.0011387131277860356,0.5131309817082148,0.6081436866514225,3,24
growth_factor,0.4347010162656384,0.000960150287936834,0.4347010162656384,0.6640144639794101,4,24
