,h_1,h_3,h_6
2016-12-01,0.09983553288980782,0.3908217715526753,0.3056135751194118
2017-01-01,0.39431402154814327,0.2005155731128116,0.2563671609406893
2017-02-01,0.35806037275573127,0.03872313792960519,0.14929273386045333
2017-03-01,0.04604511242103426,0.19639216866582193,0.23837726188679237
2017-04-01,0.236615218266582,0.5130299270118415,0.3528290230692308
2017-05-01,0.45240345333854887,0.2544494487724439,0.33377626683340933
2017-06-01,0.43828523217845283,0.33002313250129844,0.307922067244146
2017-07-01,0.13987234587165143,0.11280739565087916,0.20840815015705222
2017-08-01,0.15515158174793345,0.021436603853608932,0.13837970297441904
2017-09-01,0.13861659334978996,0.1389364012302296,0.13452408006010305
2017-10-01,0.25560356158598885,0.3592055956335074,0.2983839053964474
2017-11-01,0.4217363844977831,0.32886005208875113,0.2783882056771768
2017-12-01,0.3767807014132574,0.3664599014033484,0.2466461728865615
2018-01-01,0.30971004803878593,0.2793380440991058,0.14789075406955843
2018-02-01,0.22393609160124328,0.13371474468723255,0.10679439796695628
2018-03-01,-0.05230020143985614,0.2356806223322951,0.10037763019381007
2018-04-01,0.08129037706652414,0.4815895132009451,0.21985157741590894
2018-05-01,0.3920944767387224,-0.001513769322877001,0.06589397750063569
2018-06-01,0.371681907472536,0.2446522862725568,0.1188097823753505
2018-07-01,0.0034078377516245095,0.1181302134754404,0.04041106420885876
2018-08-01,0.21685799162800012,0.22181373547919636,0.11861868002205894
2018-09-01,0.23104754227365282,0.15705110742583261,0.0634353305132776
2018-10-01,0.1858276200004113,0.11656143185183387,0.05601094474696644
2018-11-01,0.020574902166446418,-0.026033456548644307,-0.01704210259709993
2018-12-01,-0.14097261232052866,-0.04320951132769141,0.038487057634946364
2019-01-01,-0.1367252429118559,-0.24098266361747106,0.02855385034204111
2019-02-01,-0.06620550710992357,-0.10867071746934365,0.02279214254124362
2019-03-01,0.063175888874628,0.03943618544989069,0.02462420209413746
2019-04-01,0.0619320103123151,-0.06594552124092284,-0.04231621912322647
2019-05-01,-0.015612257941361396,-0.033930594980813356,-0.024971692216539887
2019-06-01,-0.1876507400525929,-0.03245808201449102,-0.020365717615144996
2019-07-01,-0.04798702027357504,-0.11092767481744836,0.0038735351946762586
2019-08-01,0.04140316640887859,0.011642875954280651,0.05497214796239386
2019-09-01,-0.19025700456786904,-0.020052660628467667,0.014613531360336218
2019-10-01,0.01573678877757273,-0.20223875484838555,-0.043813192790224054
2019-11-01,-0.0319346174361112,-0.04420408022882383,0.03570543775124785
2019-12-01,-0.0011400117762708217,0.0074019091385966185,0.057500492116025204
2020-01-01,0.15970826785757225,-0.07108159036789019,0.018691825627004777
2020-02-01,-0.08361838703481195,0.02240714992799897,0.061271510171993115
2020-03-01,-0.4594102605187663,-1.4286944142095401,-0.47358156174390276
2020-04-01,-7.72110459526645,-8.34843889716483,-7.125350920969412
2020-05-01,1.0574629341341968,-1.3518819036460235,-0.5141233799390097
2020-06-01,-2.8723650469906197,2.495201467290879,-0.4414025276158964
2020-07-01,-0.9825977234631909,0.7034792420721537,-0.3298992939644734
2020-08-01,-0.530379324899472,0.43510943890248466,0.08782822886097708
2020-09-01,-0.1756242243975028,0.23790283063778384,0.2125255506913264
2020-10-01,0.28767410584456987,0.11245372964657707,0.2213164872073201
2020-11-01,-0.27741988625225633,0.4130430290482012,0.15288265316870786
2020-12-01,0.8251373479714683,0.13674138273943592,0.1504133093399036
2021-01-01,0.17250422640404983,0.3404551807006049,0.1402638888196973
2021-02-01,-0.5701176768862323,0.43959492954477447,0.18681198427772006
2021-03-01,1.880624704467941,-0.3063199617281389,0.08319220280902728
2021-04-01,0.16521185694868512,0.160800893295014,0.09353328165127117
2021-05-01,0.5138295361051803,0.07136852992629872,0.15445881452821475
2021-06-01,0.6271826850171001,0.14043187481589126,0.13056907365686599
2021-07-01,0.6246393612091732,0.05065770640612066,0.11002214481751982
2021-08-01,0.14608644069989485,0.15119469131040775,0.10206083804934352
2021-09-01,0.2436376695280864,0.04827307413449211,0.16702826605377008
2021-10-01,0.8318689237598621,0.19996964410280194,0.03471167015936161
2021-11-01,0.6228101020522012,0.15539839893637586,0.00204051235783409
2021-12-01,-0.04029316830223939,0.31180811463917374,0.0044312395547349
2022-01-01,0.8561519505993677,-0.18286973318302335,0.13171987696546553
2022-02-01,0.49399436509133077,0.13030752754864494,0.03172737956889443
2022-03-01,0.7897891611484036,0.3258313035636957,-0.17311752505909972
2022-04-01,0.6928652797043158,-0.5017549294520294,-0.0268933320120458
2022-05-01,1.2199516130343355,-0.08723945370464126,-0.18938118526152792
2022-06-01,0.9197835607857918,-0.10265465783468564,-0.22500604576536354
2022-07-01,0.47876998592574793,-0.595173102957884,-0.20801068907228526
2022-08-01,1.0148551496279699,-0.45428087798058225,-0.21869400583280907
2022-09-01,-1.0331744269622671,0.006186839015509982,-0.2008047770950343
2022-10-01,0.9196387460600217,-0.021693584676657274,-0.15149804916243603
2022-11-01,0.8175990437713274,-0.28006901689138886,-0.1656746872685737
2022-12-01,-0.8681023635558338,-0.2452551076540459,-0.3083537431653909
2023-01-01,0.20281180762688233,-0.19852784995916828,-0.27001454369458955
2023-02-01,0.05593775387686861,-0.234227438271553,-0.19748190998993387
2023-03-01,-0.4424272763270469,-0.22098012882450213,-0.23284729052401865
2023-04-01,0.30929199693080633,-0.23116171994441892,-0.226657978309742
2023-05-01,0.06725912263500078,-0.2540519684940712,-0.1925817597958801
2023-06-01,-0.4687797760574881,-0.1345400939528396,-0.26800080664636816
2023-07-01,0.21725181710879582,-0.4106346030059118,-0.16236250924285756
2023-08-01,0.37071363462899676,-0.19737070850508864,-0.25259702787103855
2023-09-01,-0.2964846752818229,-0.20431761586181807,-0.31297370137609803
2023-10-01,-0.4040101023763345,-0.37072318615723887,-0.2569488404566691
2023-11-01,0.00990767677753368,-0.512780202986681,-0.2551224581733855
2023-12-01,-0.2169444971647092,-0.2589671640834421,-0.2233957143579275
2024-01-01,-0.25103780775912377,0.06910242393986543,-0.24049822059044246
2024-02-01,0.354877706561723,-0.32286014502687443,-0.17796005278057692
2024-03-01,-0.02101465192513352,-0.16327771931756807,-0.23528265696864104
2024-04-01,-0.10946360336315486,-0.245725983505805,-0.22852999394418028
2024-05-01,-0.07774479347113683,-0.4359262164439155,-0.20166644593896876
2024-06-01,-0.15157415182055622,-0.24591739139011892,-0.22637369413611452
2024-07-01,-0.2957580315807302,-0.14698578483640645,-0.19299895970941527
2024-08-01,-0.05317453156552787,-0.27015718420991597,-0.20029012544248204
2024-09-01,-0.7294103610527429,-0.0841034785815431,-0.19718476149092012
2024-10-01,-0.5350710148811029,-0.05906518552454543,-0.1557235018946077
2024-11-01,-0.09989921748242736,-0.18051076239829555,-0.10704882792986581
2024-12-01,0.4179854419855058,-0.25349272256804944,-0.1499300337356093
2025-01-01,-0.39534482825365735,0.06847931547753205,-0.13105850341728598
2025-02-01,0.5163447444580207,-0.16377486223615456,-0.10694149828740329
