,h_1,h_3,h_6
2016-12-01,0.1905142754928376,0.19780422949179147,0.16671525929193623
2017-01-01,0.2145681183533656,0.10783692824186285,0.1777094339015501
2017-02-01,0.15114775923090606,0.09187198278905914,0.14463173682235272
2017-03-01,-0.006986291332547301,0.17235058984105592,0.169797269358469
2017-04-01,0.23366402637537387,0.24630468428859917,0.18254219613544168
2017-05-01,0.14932575383159788,0.19545406645570357,0.1770208964948401
2017-06-01,0.213801300676014,0.20016178399278783,0.16641224791611672
2017-07-01,0.12862487213387921,0.13419167446747066,0.1641604025530659
2017-08-01,0.14541792287131156,0.08538827220297858,0.15151062220440875
2017-09-01,0.1839361909721967,0.09736525157726969,0.15223844387107893
2017-10-01,0.06772107675889252,0.2009398966142561,0.18074929094499387
2017-11-01,0.2242651671951586,0.19011451892018316,0.16619695765878192
2017-12-01,0.26235541369932724,0.1856944443781781,0.16075297782602274
2018-01-01,0.3088458808176969,0.13228277952971818,0.14679316401384265
2018-02-01,0.12105800642789914,0.11818364177242921,0.15384628418092477
2018-03-01,0.14553630879494747,0.1804155341680212,0.1590810674761794
2018-04-01,0.22364200288258745,0.24563281352247607,0.18815424298556457
2018-05-01,0.2914408699095257,0.1283301292546517,0.14320366058076597
2018-06-01,0.17632123471747857,0.22000636354909908,0.1433283205525739
2018-07-01,0.19520719773720355,0.17483594983556405,0.14158081206422665
2018-08-01,0.17494033485531515,0.20656494670935213,0.14694991056687604
2018-09-01,0.24359312655884335,0.16752237525210023,0.1393843334997386
2018-10-01,0.19012519816861476,0.13352969062604353,0.1541978532528941
2018-11-01,0.07951903664641333,0.15063148170095136,0.14575376566441814
2018-12-01,0.0464081753909609,0.13025034726814855,0.1646273462342908
2019-01-01,-0.05842189726197228,0.10792864055652582,0.1918011832546746
2019-02-01,0.15756440511007438,0.12695474582212996,0.1614657833419209
2019-03-01,0.22923048815128655,0.1673480798264804,0.14744093399458577
2019-04-01,0.21386624821462027,0.08871410987273737,0.14174650085448937
2019-05-01,0.11586395989160128,0.13527063062557312,0.1408209429696968
2019-06-01,0.11157224708935243,0.15080773200465983,0.14705718999496037
2019-07-01,0.11658253297572879,0.10841884961748616,0.15574534925164918
2019-08-01,0.05569515054240831,0.1959425245712886,0.15265946767118632
2019-09-01,0.19765391749227335,0.15102103899613295,0.14099206857551638
2019-10-01,0.14419372542866815,0.07050497816188009,0.1298546854502858
2019-11-01,0.06924375397325686,0.1408278192983839,0.12746806322614587
2019-12-01,0.15214962498872905,0.10160701570726977,0.14909312180718726
2020-01-01,0.1675450824843402,0.07620228042349794,0.1351132692600211
2020-02-01,0.02867102406843669,0.12885011353796016,0.15666694004198192
2020-03-01,-0.27872227493714297,-0.20206833319363635,0.05922052559807642
2020-04-01,-0.6513806612133985,-1.6052024408501917,-0.9770858140038807
2020-05-01,-0.7510398049990119,0.15576075691217314,0.17580961938849043
2020-06-01,-0.2333998443203975,0.5239325727384108,0.2215799871223788
2020-07-01,0.4875638486785314,0.3287241954530337,0.09268489898266613
2020-08-01,0.29921417735130124,0.120480229283555,0.14819509029764072
2020-09-01,0.10976611617562458,0.10832213966656734,0.16716934771161157
2020-10-01,0.0937144599005588,0.15545167142564154,0.1603839531953749
2020-11-01,0.10177671512996996,0.15976817089512735,0.1693200936376053
2020-12-01,0.3175153454543457,0.16147992730934935,0.123889648844704
2021-01-01,0.16830969580417604,0.12578592676170583,0.14475344610799834
2021-02-01,0.20944614397197153,0.04182627568943571,0.16011862912069935
2021-03-01,0.2565198321705419,0.16254369137918526,0.09262928303706434
2021-04-01,0.16381537612105807,0.07780547721318337,0.12510608775463755
2021-05-01,0.11013598571138468,0.05198561655765483,0.13894060361406813
2021-06-01,0.17714430932651132,0.06873013016690892,0.1335943640173726
2021-07-01,0.20156564761648318,0.08887104507491136,0.12117816899688985
2021-08-01,0.1546647780370333,0.07936941524561253,0.13273638931660015
2021-09-01,0.11049645394465826,0.051118943342755074,0.14912783858756992
2021-10-01,0.2665171863547384,0.15152912793159085,0.11722772171955131
2021-11-01,0.35211385152264796,0.1374474567880326,0.100782129717706
2021-12-01,0.26200052164599447,0.11029303333025609,0.12750377887334607
2022-01-01,0.23620971984835182,0.08275182963853034,0.14365359775472264
2022-02-01,0.27293100948071247,0.17341105820530583,0.13911713636153028
2022-03-01,0.685085245512941,0.2725285443215303,0.09616108730733175
2022-04-01,0.22253176025013133,0.0896865963687522,0.10459575558052703
2022-05-01,0.42923486253377274,0.1984958003200994,0.1006815315214763
2022-06-01,0.5340515688185318,0.30329994220694156,0.15355355119993797
2022-07-01,0.10614246588212772,0.09146893481134133,0.11287166780612345
2022-08-01,0.3080769456845651,0.17081982368289594,0.1306080884014751
2022-09-01,0.03956421924693965,0.19213519950169733,0.1853302192272872
2022-10-01,0.42656315897421937,0.3355981458098136,0.2190971947793645
2022-11-01,0.3194773767354242,0.2653344460821052,0.20606819192055048
2022-12-01,0.21276417620390342,0.13503878961965343,0.14689728112208944
2023-01-01,0.30991497662643075,0.2613359597433913,0.18151185471424625
2023-02-01,0.18485624244714105,0.21918673429898416,0.18487579399817333
2023-03-01,0.2357762823159839,0.1720371229057075,0.16227766244039965
2023-04-01,0.289806409378929,0.21513086920195845,0.15656920088588178
2023-05-01,0.1691626185229309,0.1683022290875278,0.15733736599687342
2023-06-01,0.2618187183201577,0.1514825015419714,0.1405350738390858
2023-07-01,0.07295677936904499,0.1354442481764272,0.14542825067703125
2023-08-01,0.32547412076957727,0.19483498493075713,0.13278966299717054
2023-09-01,0.2842967119093682,0.1599716114302685,0.11071011813529097
2023-10-01,0.09504595779942293,0.0810442442947561,0.11719571761967384
2023-11-01,0.10514560427353392,0.09027002855364152,0.11094101109293741
2023-12-01,0.07352146702439888,0.122643121773379,0.13551716837396155
2024-01-01,0.26854938711336795,0.19718313408864097,0.1651944283158322
2024-02-01,0.18702565451355158,0.19660655777249691,0.16321924198311888
2024-03-01,0.3037373289358425,0.19287585524428752,0.15417537642305001
2024-04-01,0.2319232948945804,0.1496346111901512,0.13899840280158604
2024-05-01,0.09702265250130915,0.10866710776778477,0.13339329523994237
2024-06-01,0.17216120047887906,0.13538290031007705,0.13305666188981102
2024-07-01,0.1272937596208661,0.12924864764391653,0.14354994017379763
2024-08-01,0.1476028426813354,0.15434940771022299,0.14750741136864742
2024-09-01,0.1247591477759018,0.14171354416417592,0.15701198001998562
2024-10-01,0.13898363539402636,0.16518456942149107,0.1734289948589346
2024-11-01,0.1204591367102884,0.16717971079805571,0.17969668723679522
2024-12-01,0.26445272112952645,0.18968001961406045,0.14937626460041753
2025-01-01,0.21705270899306484,0.19306421533307505,0.17149878150401943
2025-02-01,0.2978521564916401,0.23959732737221717,0.17804546314535474
