,h_1,h_3,h_6
2017-03-01,0.6197981601664233,0.7685056432447501,0.8254680233317333
2017-04-01,0.603118637729683,0.7041931860594526,0.7746484952447574
2017-05-01,0.727718282044201,0.839825859914601,0.8412510292483673
2017-06-01,0.7784584480256463,0.8240284010531688,0.8255457104737747
2017-07-01,0.8373114600502762,0.8689567962593182,0.8488721607423526
2017-08-01,0.9656290763329181,0.9592382773261036,0.8555913769336705
2017-09-01,1.0449350869525662,0.9726303518703403,0.8157748766802823
2017-10-01,1.1713297722138822,1.0795592947351655,0.8676382791409873
2017-11-01,0.9131636965236375,0.7703902501538646,0.7640115064843169
2017-12-01,0.8149335376245628,0.7193243941717201,0.7414998682007992
2018-01-01,0.7216889880992792,0.6622628467536812,0.6763486392950808
2018-02-01,0.664741339697623,0.6534437343397824,0.6544322897185357
2018-03-01,0.5508019471899892,0.49171913061951433,0.5394682699358004
2018-04-01,0.4638705310841139,0.4796560642707443,0.5319596768711905
2018-05-01,0.5906599012109104,0.5849232368275585,0.5164005905677378
2018-06-01,0.6070627357397743,0.5715135126506122,0.5236315276257799
2018-07-01,0.6155991440527167,0.5483168246138352,0.5042412955966342
2018-08-01,0.3607118079304556,0.3639653324201747,0.4961207975771617
2018-09-01,0.23854208900432863,0.3150222432671308,0.47672497162063887
2018-10-01,0.12132812418867173,0.33595955043077547,0.5299646157735821
2018-11-01,0.4623734600466575,0.5693112517619261,0.49717395831292466
2018-12-01,0.5953596455248858,0.6970418664472915,0.5949219954727224
2019-01-01,0.7530061824924345,0.8064887999057231,0.6598702648102802
2019-02-01,0.7236934578550277,0.6868743431457832,0.6065323362967314
2019-03-01,0.7601484447991436,0.6456172436049171,0.552631370968186
2019-04-01,0.8255984517317729,0.6993275467274704,0.561049965276582
2019-05-01,0.9443448857173605,0.7477618353249028,0.5482813816466144
2019-06-01,1.0244650410021647,0.7528197638971247,0.5295749565167094
2019-07-01,1.1517310594659087,0.9191267079177653,0.638063560088279
2019-08-01,0.8161070609013785,0.5373451172052008,0.5150547852697567
2019-09-01,0.6796332224655799,0.4780876631569875,0.5186373689611726
2019-10-01,0.5530373753717418,0.4635493008139183,0.5409460358219921
2019-11-01,-0.3339254615175496,-0.19079314023222915,0.48743451891069967
2019-12-01,-0.8415582961614825,-0.28097878620979844,0.6109196557365535
2020-01-01,-1.4365193902257047,-0.6066965309712056,0.6263354016078923
2020-02-01,-4.8797519331054175,-5.1398615629907365,-2.600184512563528
2020-03-01,-7.099977500883202,-7.821193238763389,-6.287147659840906
2020-04-01,-9.574615756332294,-11.675784622280851,-12.801465003944323
2020-05-01,4.247764006938006,8.859813246624396,-5.546143822217115
2020-06-01,5.207682000074477,3.848147640165916,-1.364824079913992
2020-07-01,10.593515614533736,6.741192936350616,-8.837561126759077
2020-08-01,1.8620146241358768,-3.2033901690764965,1.2143865646703125
2020-09-01,0.39773005759948976,-2.3650765302577175,0.9315726030157292
2020-10-01,-0.6582573267217511,-1.2552912736306439,1.2455162440561114
2020-11-01,1.065480947830236,0.7599630854631586,0.4647615150845197
2020-12-01,1.1741100870692796,0.683073439920795,0.5105574533059303
2021-01-01,1.2410017721147353,0.720792352130936,0.4907419604945085
2021-02-01,1.2949713380898,0.7135478314458008,0.42345814579750973
