regime,variable,horizon,coefficient,intercept,r_squared,t_statistic,p_value,se_coef,n_observations,regime_name
0,gdp,1,0.0038959325983638883,0.016753243238913643,0.01408394701760629,0.8017675577048318,0.4270961389191217,0.004859179647423654,45,Goldilocks
0,gdp,3,0.0032322842254799513,0.004755814890613118,0.006406864329282502,0.5386724065517507,0.5928908496884508,0.006000463707007095,45,Goldilocks
0,gdp,6,0.005827643774538015,0.002431666427029555,0.01661959674471236,0.8720787881303828,0.3880089468558796,0.0066824739391169955,45,Goldilocks
0,gdp,12,0.00791539417689119,0.006026933963364904,0.033106641277686366,1.2412936389381701,0.22122632111766594,0.006376729831357383,45,Goldilocks
0,real_gdp,1,0.0037689836490127754,0.016753243238913643,0.013181050375556724,0.7752870441717932,0.4424130058563336,0.0048614041435956455,45,Goldilocks
0,real_gdp,3,0.002650398179950408,0.0047558148906131185,0.0043077321483148134,0.4412330500074392,0.6612550357068372,0.006006798855855703,45,Goldilocks
0,real_gdp,6,0.0038852449588817365,0.0024316664270295557,0.007387054436750584,0.5786979436554766,0.5658120696185409,0.006713770113540939,45,Goldilocks
0,real_gdp,12,0.006224681645866912,0.006026933963364905,0.020474076358707127,0.9698407970444046,0.3375497234280429,0.006418250979786234,45,Goldilocks
0,unemployment,1,-0.003542908323702699,0.01536746812205339,0.009821902114815484,-1.117960387356007,0.26574516793968184,0.0031690821640664125,126,Goldilocks
0,unemployment,3,0.0016339152582331498,0.008774938921065397,0.002166613346152202,0.5230545256220982,0.6018697097663441,0.0031237952798321405,126,Goldilocks
0,unemployment,6,0.006995572013561772,0.008561604617674183,0.029109240884629517,1.935910443734515,0.055173058410963094,0.0036135824548096315,125,Goldilocks
0,unemployment,12,-0.0015480023835311822,0.009069731427633437,0.0016035449809405078,-0.4462722688583607,0.6561916649171047,0.003468739806511464,124,Goldilocks
0,industrial_production,1,0.0027854849500493412,0.015367468122053392,0.0060712400525492205,0.8772963981892978,0.3820222243900653,0.0031750785205529883,126,Goldilocks
0,industrial_production,3,0.0013398230635046414,0.008774938921065395,0.0014568581101512823,0.4287562698435861,0.6688445260977218,0.0031249060544197294,126,Goldilocks
0,industrial_production,6,-0.002700416328357784,0.008561604617674178,0.004337563716063975,-0.7379414051514742,0.4619556247740402,0.0036593912599381523,125,Goldilocks
0,industrial_production,12,-0.0023066295201068323,0.009069731427633438,0.0035603573367409824,-0.6656288515172061,0.5069048927306758,0.0034653388518980197,124,Goldilocks
0,retail_sales,1,0.005353349413735046,0.014324451590063429,0.022921370691564413,1.6847994819205503,0.09464817900721934,0.0031774400877857658,121,Goldilocks
0,retail_sales,3,0.0026363170944351485,0.008682671786177988,0.005496741270516137,0.8177908133087998,0.4151110738966326,0.0032237059300881006,121,Goldilocks
0,retail_sales,6,0.0014751536491054479,0.007862006202288888,0.0013169669198168643,0.3977994885135024,0.6914967345896386,0.003708284428966472,120,Goldilocks
0,retail_sales,12,0.001300962961247837,0.008836259390617711,0.0011003089130723342,0.3620510878833834,0.7179669448779311,0.0035933132223231355,119,Goldilocks
0,tot_business_inventories,1,0.005539436892959765,0.01432445159006343,0.024542604082576025,1.7448128577071431,0.08359908179090669,0.003174802884155229,121,Goldilocks
0,tot_business_inventories,3,0.002811370872185219,0.008682671786177988,0.006250953752370947,0.8724237213906775,0.38473416879385436,0.003222483299403854,121,Goldilocks
0,tot_business_inventories,6,0.0011981592592862891,0.007862006202288888,0.0008688192744539247,0.3230309169936956,0.7472435505662283,0.0037091163608642228,120,Goldilocks
0,tot_business_inventories,12,0.0011930196028293674,0.008836259390617711,0.0009252943833197858,0.3319819425345974,0.7404968738904802,0.0035936279959113654,119,Goldilocks
0,cpi,1,0.003558622688251614,0.015367468122053396,0.009909224297781738,1.1229685533348712,0.26362040151742594,0.0031689424229054313,126,Goldilocks
0,cpi,3,0.002685332304961056,0.008774938921065397,0.005852190168451843,0.86122971847411,0.39077383133986965,0.003118020949995563,126,Goldilocks
0,cpi,6,0.0010520399130223707,0.008561604617674176,0.000658337888292837,0.2869607078036697,0.7746252513654059,0.003666146215885926,125,Goldilocks
0,cpi,12,0.00047097537225340523,0.009069731427633437,0.00014843430823041626,0.13567824691673358,0.8922992595109205,0.0034712666396879755,124,Goldilocks
0,PCE_price_index,1,0.003525490350255157,0.015367468122053399,0.009725564823067079,1.1124100536627823,0.26811386424435746,0.0031692363249027945,126,Goldilocks
