variable,0,1,2,3
10y_2y_spread,0.925226810458557,0.4609392366923799,0.9245345677294081,0.8464804293588089
10y_treasury_const_maturity_rate,0.6733293531784044,0.8525844632954049,0.5169534169201206,0.033252087110598794
PCE_price_index,0.3846029460778464,0.9059761322234974,0.3706974736866422,0.034344535647833574
PPI_inflation,0.23486649447547214,0.6444198621729686,0.21226885466035172,0.0753638432139907
cpi,0.39077383133986965,0.9286097899833938,0.35958806915992136,0.03982335518374991
fed_reserve_discount_rate,0.9054805833036015,0.9459440912090906,0.744917061682056,0.01960636362652446
fedfunds,0.7890034289118866,0.690474272423955,0.5238485234337149,0.04608157287566783
gdp,0.5928908496884508,0.6759684912890074,0.8579311260297531,0.18383932197499675
industrial_production,0.6688445260977218,0.5074815169857372,0.05691639456822495,0.7502249862234218
m2_real_money_supply,0.4440470521694939,0.9751042357112105,0.396433244316728,0.01398678187596536
nat_fin_condition_indx,0.3531524719642378,0.8675101918244414,0.09175214974159052,0.732007015452695
real_gdp,0.6612550357068372,0.7161980927705294,0.9695953064938911,0.2770708997290372
retail_sales,0.4151110738966326,0.8832092450944118,0.49613984406007283,0.15234901610828966
tot_business_inventories,0.38473416879385436,0.7837107654340358,0.48557944015367793,0.08493003365118157
unemployment,0.6018697097663441,0.5702799398891045,0.1723139059693457,0.1593608234052306
