variable,0,1,2,3
10y_2y_spread,-0.005055608705273253,0.00015747504231622539,0.010110405148675254,0.0008280286875972427
10y_treasury_const_maturity_rate,0.004024565130794485,0.0005189276803356625,-0.007274920572942231,-0.008777377296760744
PCE_price_index,0.0004335395255579138,-0.0005611365572670102,0.0013541739882034084,0.009314457543186608
PPI_inflation,0.00012957192571253797,9.790839403805747e-05,0.0015723767609665926,0.010252851605954114
cpi,0.00047097537225340523,-0.0006135950902189548,0.0013920071425239822,0.009278440410289688
fed_reserve_discount_rate,0.005089543583850703,0.00149830453854798,-0.01582016745498075,-0.007620886991842932
fedfunds,0.005406772194565891,0.0007614622054069873,-0.014261167578235274,-0.007325620163731144
gdp,0.00791539417689119,0.0011892974310038485,-0.0016207976044163997,0.006660482921343249
industrial_production,-0.0023066295201068323,-0.0027103541288507347,-0.00538765876238755,0.007567031439492106
m2_real_money_supply,0.0006399036367806853,-0.0025847868230228304,0.0030736602833356316,0.008535365074351924
nat_fin_condition_indx,0.002565988548724759,0.00015022965643847401,-0.007816774609224714,0.003980112422883469
real_gdp,0.006224681645866912,-7.447902007733635e-05,-0.0017304292733970484,0.006849302164696146
retail_sales,0.001300962961247837,-0.0018516616457002397,0.0007129585909632056,0.007759267519064367
tot_business_inventories,0.0011930196028293674,-0.0008196820459996356,0.0007568694698379037,0.008223119475062707
unemployment,-0.0015480023835311822,0.0028896380353185384,0.006972788980069515,0.00031665967589114297
