variable,0,1,2,3
10y_2y_spread,-0.0003,-0.0031,0.0005,-0.0008
10y_treasury_const_maturity_rate,-0.0013,-0.0008,0.0032,-0.0090**
PCE_price_index,0.0027,-0.0005,-0.0044,0.0090**
PPI_inflation,0.0037,-0.0020,-0.0061,0.0076*
cpi,0.0027,-0.0004,-0.0045,0.0087**
fed_reserve_discount_rate,-0.0004,-0.0003,0.0017,-0.0102**
fedfunds,-0.0008,0.0017,0.0031,-0.0085**
gdp,0.0032,0.0033,0.0013,0.0089
industrial_production,0.0013,0.0028,-0.0092*,0.0014
m2_real_money_supply,0.0024,-0.0001,-0.0041,0.0104**
nat_fin_condition_indx,0.0029,0.0007,-0.0082*,0.0015
real_gdp,0.0027,0.0028,-0.0003,0.0073
retail_sales,0.0026,-0.0006,-0.0033,0.0062
tot_business_inventories,0.0028,-0.0012,-0.0033,0.0075*
unemployment,0.0016,-0.0024,0.0066,0.0060
