date,growth_h1,inflation_h1,growth_h3,inflation_h3,growth_h6,inflation_h6
2000-02-01,0.5046769163008928,0.22107962540377513,0.3124064357258023,0.18342716667276768,0.29643437966803354,0.18295981304292536
2000-03-01,0.34100819765657686,0.256562880648743,0.23682228341601785,0.20544632668258,0.26899987884115184,0.19281626689953352
2000-04-01,0.17010848166518677,0.12840009158158616,0.3545803968398644,0.16978391345078553,0.29468208196011325,0.1832630707090661
2000-05-01,0.7277788090739996,0.16443447862094224,0.359608669866029,0.168616572352841,0.28184127272425297,0.18366247189565482
2000-06-01,0.6064018555089241,0.24863571956975833,0.23856367674611256,0.20518163248115728,0.21558734257837653,0.20326976511102723
2000-07-01,0.14720818210609288,0.23674676431019775,0.16664701449490238,0.21583765022190798,0.2031732835085842,0.2060696721430163
2000-08-01,0.11816378560932339,0.184349062925526,0.20818723394840166,0.20240091271356053,0.21341586734779483,0.20027966914918188
2000-09-01,0.4540174077842227,0.25971064715869946,0.17528971753418343,0.22224597614084357,0.18798633227610217,0.21296643146655725
2000-10-01,0.029342756308707862,0.22936181880116846,0.14940367060324178,0.210941701423289,0.20211454629863201,0.20293537071527468
2000-11-01,0.24011985558600646,0.21298125902166132,0.19655822687500368,0.19504272175289378,0.21033382133284118,0.1960454228902675
2000-12-01,0.146310212275508,0.20285734511365683,0.1827482447296891,0.18223949451695765,0.23351534770524962,0.1836218470701375
2001-01-01,-0.08976069824531807,0.25631944662549627,0.10062522193625734,0.18307231020695658,0.276028709287619,0.17046359128113148
2001-02-01,-0.24305519799687136,0.17110524736194588,0.16146936551651647,0.18344108912137247,0.3083578886841991,0.17331482408113724
2001-03-01,0.06471007355590652,0.17593145234906027,0.24688876043855945,0.15103506072012118,0.3302082362812695,0.15991430630669246
2001-04-01,-0.043564157850219054,0.15205959840523398,0.22249518888108177,0.12537292357693108,0.40108314252886634,0.13223421897723786
2001-05-01,-0.08995812615586507,0.1402238575368382,0.2408222382576657,0.1416387193408145,0.43565084391318054,0.1364030874926021
2001-06-01,0.04063376073035796,0.17132011949936832,0.2867849858012952,0.15005226140209127,0.4353256338306828,0.14578186633528362
2001-07-01,0.12043062252161274,0.13624165990339832,0.3342572342953969,0.14378800228979216,0.45289536176271294,0.14528287128035267
2001-08-01,0.2912297478134134,0.1402323418328441,0.3825545593279749,0.13098071939926237,0.46099636539600164,0.13994750876754208
2001-09-01,-0.11376991603669229,0.013074821270566,0.28325884030269477,0.057739059012540395,0.5146872459872835,0.08130191304447124
2001-10-01,-0.01690084985711282,0.153811064446029,0.18340669504446727,0.056199680472022284,0.49209480731906763,0.06061580454569987
2001-11-01,-0.2600445233227493,0.02033937572933117,0.18367540829911855,0.009781192241334613,0.469072962788301,0.026145781954657443
2001-12-01,0.24592446053636108,-0.02347998956300229,0.4499541724089532,0.0209540102586456,0.5851410512205927,0.04481900494585647
2002-01-01,0.5336031810411226,0.03239343216012683,0.6166754732826515,0.05491568196221308,0.6422563611071195,0.07888454076204429
2002-02-01,0.45420655307800706,0.08607227657876267,0.5289292128414789,0.07588832556647937,0.5906368881350215,0.09091911555261581
2002-03-01,0.41718837588941016,0.09139529966724105,0.5777808340478723,0.091280661936301,0.6012958794981469,0.10693384056135817
2002-04-01,0.4324773110768778,0.15387999308716271,0.5548982146667412,0.12077674108577921,0.5857729009554025,0.12817971649583737
2002-05-01,0.32099371044396796,0.09199302930072349,0.5253577726913743,0.10018524665716012,0.5802939477837763,0.113504975518177
2002-06-01,0.48949009565100354,0.09189108270123539,0.5826539371892501,0.09114450204817984,0.6033099239742206,0.10794088799228849
2002-07-01,0.33069166256960014,0.12434600483919953,0.4385345988980598,0.08631217685257542,0.5405927330928693,0.09805090895022722
2002-08-01,0.023685817027976785,0.11602157694889587,0.27097422059183773,0.053629423960157796,0.44156766085083055,0.0692557370436386
2002-09-01,0.1288542798849549,0.08419587505742235,0.30895118982313385,0.05064816549042095,0.42111993748076193,0.06568576193887421
2002-10-01,0.23771234823749054,0.08846231051563685,0.33657190349384447,0.08388991198908247,0.4171881248001428,0.09421602111669353
2002-11-01,0.08862526102060142,0.04257638443686279,0.36625792820643815,0.0778427983943788,0.4789497778491906,0.09014969649290766
2002-12-01,0.2508227794219059,0.10640286198216053,0.31977791589096294,0.09137799791478979,0.44303463062296067,0.09621669228406898
2003-01-01,0.35039856041898254,0.11694199998298843,0.4777816062577531,0.11290924444199124,0.5002786582954357,0.11791736745834708
2003-02-01,0.18559506415221005,0.19468746647351354,0.3031207114793395,0.1257663405491909,0.40567091722510173,0.12263728491487541
2003-03-01,0.07369253293115585,0.16419436465140125,0.24337790760841038,0.1265624711596162,0.3653697753859175,0.12498615794244747
2003-04-01,0.1873976515155994,0.06582089057056084,0.2848372822794113,0.10026490816674252,0.3743901193896277,0.10865089429782987
2003-05-01,0.5246988427361283,0.06011900526882971,0.45609629504586335,0.1127404248144144,0.4506583567036454,0.11888195156947928
2003-06-01,0.40625628498177935,0.12463950429846386,0.38885544349442025,0.11763299723487408,0.4268182948953746,0.12098435206368785
2003-07-01,0.2227657589435722,0.14182601744309692,0.3652415306901799,0.12344646523002885,0.4306385940914029,0.1253748008314711
2003-08-01,0.19121403884563737,0.18044997079175734,0.2980099090702545,0.13103464432623033,0.3838518641654056,0.13098108585556534
2003-09-01,0.20889165051759784,0.15433333008481234,0.3956451117570572,0.14031171642575033,0.428195681533067,0.1412200281274997
2003-10-01,0.29477941689418097,0.10510356927623599,0.38570125479685924,0.12792131549373056,0.418810786521126,0.1310245029453943
2003-11-01,0.5249793019274642,0.12056268271301426,0.5133021073004754,0.14137059302023625,0.482455053122692,0.14239337362972362
2003-12-01,0.3966052486034638,0.16906200382374137,0.4047958748582078,0.14430363209466662,0.4397025210676996,0.1431342351863417
2004-01-01,0.23042770853189376,0.20560753135658139,0.33694301914246894,0.14835227439382437,0.39920236918680385,0.1480518462183148
2004-02-01,0.2883478748906674,0.14090506523429017,0.43511760474621997,0.15173024079888922,0.43967617344053667,0.15223114503664195
2004-03-01,0.37185170590222405,0.16576650868227757,0.3812053948673294,0.16102467029016657,0.4197843729473707,0.15674464598060606
