variable,0,1,2,3
10y_2y_spread,0.21947872031337656,-0.7794048844331557,0.7779508465844036,-0.6378074743589055
10y_treasury_const_maturity_rate,-1.1286181680183365,-0.8402660466522613,-1.3962673049002723,-1.137394600057058
PCE_price_index,0.45643974796702447,0.8182564246851762,1.0190500114505197,0.9628563114856983
PPI_inflation,-0.23273129431899417,0.4197334338458924,0.5846513152834306,0.6283233787880028
cpi,0.3632968701468775,0.6864109735036145,0.9145512895677524,0.8555567914156457
fed_reserve_discount_rate,-1.0012987261090691,-0.7416644442968421,-1.564235434399928,-0.5286475657235303
fedfunds,-0.3540412924427595,0.07912247635064537,-1.2414299167403406,-0.20492283094262345
gdp,-0.34512469118487044,-0.8190542520158661,-0.23496513718487944,-0.7801194209623037
industrial_production,-0.9187481433387483,-0.5645862864140101,-0.46412608672419436,-0.1853608687130497
m2_real_money_supply,0.761841946334082,1.0860878966176313,1.2477115952789506,1.1768157471790348
nat_fin_condition_indx,-2.0798232817531614,-0.4100929089889269,-2.381250107374884,-0.18551796789672265
real_gdp,-0.24690550850550455,-0.9591024579095839,-0.1464199492775615,-0.7698644673942708
retail_sales,0.36482160168123656,0.668565248153319,0.7305066647062083,0.8992736484533629
tot_business_inventories,0.20310078686826366,0.6811678618412927,0.7318729747033799,1.0041028180535354
unemployment,2.124521846404117,1.1853783687651251,2.2280617074868396,1.307060347260192
