date,value,first_diff,pct_change_mom,pct_change_yoy,zscore_value,zscore_first_diff,zscore_pct_change_mom,minmax_value,minmax_first_diff,minmax_pct_change_mom
2004-03-01,5.8,0.20000000000000018,3.571428571428581,-1.6949152542372947,0.07591212117552025,0.47956854655812675,0.38321878861166636,0.26829268292682923,0.19047619047619044,0.08834417047576135
2004-04-01,5.6,-0.20000000000000018,-3.4482758620689724,-6.666666666666677,-0.04122380090326236,-0.48422706454951714,-0.42140143807074204,0.25203252032520324,0.15873015873015867,0.060853755186399586
2004-05-01,5.6,0.0,0.0,-8.196721311475407,-0.04122380090326236,-0.002329258995695165,-0.02614939689341875,0.25203252032520324,0.17460317460317454,0.07435781883731413
2004-06-01,5.6,0.0,0.0,-11.111111111111116,-0.04122380090326236,-0.002329258995695165,-0.02614939689341875,0.25203252032520324,0.17460317460317454,0.07435781883731413
2004-07-01,5.5,-0.09999999999999964,-1.7857142857142794,-11.290322580645162,-0.0997917619426534,-0.24327816177260506,-0.23083348964596004,0.24390243902439024,0.16666666666666663,0.06736464301809057
2004-08-01,5.4,-0.09999999999999964,-1.8181818181818077,-11.475409836065564,-0.15835972298204445,-0.24327816177260506,-0.2345550186050967,0.23577235772357724,0.16666666666666663,0.06723749436683198
2004-09-01,5.4,0.0,0.0,-11.475409836065564,-0.15835972298204445,-0.002329258995695165,-0.02614939689341875,0.23577235772357724,0.17460317460317454,0.07435781883731413
2004-10-01,5.5,0.09999999999999964,1.8518518518518379,-8.333333333333337,-0.0997917619426534,0.23861964378121475,0.18611558818328988,0.24390243902439024,0.18253968253968247,0.08161000116836076
2004-11-01,5.4,-0.09999999999999964,-1.8181818181818077,-6.896551724137923,-0.15835972298204445,-0.24327816177260506,-0.2345550186050967,0.23577235772357724,0.16666666666666663,0.06723749436683198
2004-12-01,5.4,0.0,0.0,-5.263157894736836,-0.15835972298204445,-0.002329258995695165,-0.02614939689341875,0.23577235772357724,0.17460317460317454,0.07435781883731413
2005-01-01,5.3,-0.10000000000000053,-1.85185185185186,-7.017543859649134,-0.21692768402143603,-0.2432781617726072,-0.23841438197012993,0.2276422764227642,0.16666666666666657,0.0671056365062674
2005-02-01,5.4,0.10000000000000053,1.8867924528301883,-3.5714285714285587,-0.15835972298204445,0.2386196437812169,0.19012058790171993,0.23577235772357724,0.18253968253968253,0.0817468347972485
2005-03-01,5.2,-0.20000000000000018,-3.703703703703709,-10.344827586206895,-0.2754956450608271,-0.48422706454951714,-0.45067936704683986,0.21951219512195122,0.15873015873015867,0.059853454175220734
2005-04-01,5.2,0.0,0.0,-7.142857142857128,-0.2754956450608271,-0.002329258995695165,-0.02614939689341875,0.21951219512195122,0.17460317460317454,0.07435781883731413
2005-05-01,5.1,-0.10000000000000053,-1.9230769230769384,-8.92857142857143,-0.3340636061002186,-0.2432781617726072,-0.24657841985769655,0.21138211382113817,0.16666666666666657,0.06682670641661174
2005-06-01,5.0,-0.09999999999999964,-1.9607843137254832,-10.71428571428571,-0.39263156713960967,-0.24327816177260506,-0.2509005575628759,0.2032520325203252,0.16666666666666663,0.06667903754561766
2005-07-01,5.0,0.0,0.0,-9.090909090909093,-0.39263156713960967,-0.002329258995695165,-0.02614939689341875,0.2032520325203252,0.17460317460317454,0.07435781883731413
2005-08-01,4.9,-0.09999999999999964,-1.9999999999999907,-9.259259259259256,-0.4511995281790007,-0.24327816177260506,-0.25539558077626473,0.1951219512195122,0.16666666666666663,0.06652546191978374
2005-09-01,5.0,0.09999999999999964,2.0408163265306145,-7.407407407407418,-0.39263156713960967,0.23861964378121475,0.20777528053805808,0.2032520325203252,0.18253968253968247,0.08235001977356966
