date,value,pct_change_mom,pct_change_yoy,log_value,log_diff,log_pct_change,zscore_value,zscore_pct_change_mom,zscore_pct_change_yoy,zscore_log_value,minmax_value,minmax_pct_change_mom,minmax_pct_change_yoy,minmax_log_value
2003-10-01,1132480,0.44382319446267804,1.0440961546354321,13.939920476139235,0.0044284120378570435,0.03177793806983242,-0.7528368649106623,0.2604567837159395,-0.5531266179924721,-0.7231467720855723,0.17770370620491455,0.5662026281153948,0.42474535592622764,0.2879852260009718
2003-11-01,1136127,0.32203659225769066,1.206052443104677,13.9431356677892,0.0032151916499643107,0.02306463408789927,-0.7457532986540975,0.03812334655406686,-0.5207364542287173,-0.7134285382749642,0.179658402487347,0.5413986701551486,0.4292734311363917,0.29065826299806136
2003-12-01,1137790,0.14637448102192696,0.6982918842375341,13.94459834236922,0.0014626745800203622,0.010490284358333213,-0.7425232545946878,-0.2825651385752042,-0.6222851363449138,-0.7090074601231754,0.18054972684097606,0.5056220285261604,0.41507714384778815,0.29187429727929626
2004-01-01,1138587,0.0700480756554267,0.8479079975979076,13.945298577903637,0.0007002355344170041,0.00502155398975912,-0.7409752418975444,-0.4219065090059284,-0.5923629242514992,-0.7068909291704913,0.1809768979232625,0.49007682966445965,0.41926020472397546,0.2924564571297656
2004-02-01,1149599,0.9671636862180977,1.1084471713181054,13.954923743878794,0.009625165975156946,0.0690208669350989,-0.7195866398637383,1.2158663955394156,-0.5402568493134269,-0.6777979158773261,0.18687904090712487,0.6727900139310113,0.42654452189961317,0.30045860056498125
2004-03-01,1157579,0.6941550923408979,1.573737061749103,13.96184131315352,0.006917569274726532,0.04957081386962603,-0.7040870898973586,0.7174623186338046,-0.4472020140172882,-0.6568888806060948,0.19115611146753367,0.6171870694140267,0.43955338767638497,0.30620970986556656
2004-04-01,1164479,0.5960716288045953,2.1578549358617805,13.967784334653158,0.005943021499637879,0.042566172801561386,-0.6906852233850754,0.5384012956481883,-0.3303823846057469,-0.6389255120847834,0.19485433037315028,0.5972106675594542,0.455884520543051,0.3111506023760354
2004-05-01,1174147,0.8302425376498945,3.3669277807416575,13.976052484478881,0.00826814982572266,0.0591944264575206,-0.6719070718719228,0.9659033533807982,-0.08857598228500725,-0.6139342139180306,0.20003612463104906,0.6449036425940561,0.4896885353666109,0.31802455353906534
2004-06-01,1184240,0.8596027584280241,4.547328536077844,13.984611776587373,0.008559292108492045,0.06124255842625548,-0.6523034430735932,1.0195033281173105,0.14749619579197576,-0.5880629094921987,0.20544570773458365,0.6508833617807241,0.5226909179774701,0.32514055375483786
2004-07-01,1196968,1.0747821387556478,5.9605978922395275,13.995302250682347,0.010690474094973368,0.07644455395516836,-0.6275818551071671,1.4123344800536866,0.4301405211283511,-0.5557498973573375,0.21226758168106025,0.6947083819957937,0.5622039865801471,0.3340283700604719
2004-08-01,1207657,0.8930063293254298,7.35711802947292,14.00419267676084,0.008890426078492553,0.06352435924033006,-0.6068206158100955,1.0804848367285784,0.7094351158112893,-0.5288777078542084,0.2179966051422394,0.6576865794849736,0.6012487700440646,0.34141966750551356
2004-09-01,1206471,-0.0982066927943892,7.0063575632651975,14.003210127289217,-0.0009825494716224625,-0.007016109348834121,-0.6091241830106126,-0.7290721603257467,0.6392853917733953,-0.5318475605209453,0.2173609402694769,0.4558088221194615,0.591441989543273,0.340602798287423
2004-10-01,1216168,0.8037491162240951,7.389799378355466,14.011215489860064,0.008005362570846941,0.05716805288271676,-0.5902897048121184,0.9175370032147799,0.7159711648423652,-0.5076505627453863,0.22255827776625434,0.63950779691505,0.6021624956369913,0.3472582741211038
2004-11-01,1228121,0.9828411864150288,8.097158152213613,14.020995917037004,0.009780427176940165,0.06980427346947593,-0.5670733989539559,1.2444872162354617,0.8574381417751252,-0.4780882571595946,0.2289647720530421,0.675983009291469,0.6219392746609644,0.3553894981778693
2004-12-01,1230005,0.1534050797926234,8.104746921663919,14.022528792380989,0.0015328753439849407,0.010932713717726195,-0.5634141067062544,-0.26973008807134047,0.8589558444070146,-0.4734549902762573,0.22997454660640176,0.5070539321443449,0.6221514462237261,0.35666389577293756
