model,variable,h_1m,h_3m,h_6m
LSTM,Growth,0.5784235440125128,0.5562368873266795,0.5351015364695585
TVP-VAR,Growth,0.2738446836444562,0.69566585546801,0.75392960204879
TVP-VAR,Inflation,0.1313470593909146,0.1530163994931015,0.1555696595570397
XGBoost (Macro),Growth,0.3048808270003225,0.5687968889102122,0.6653145741835845
XGBoost (Macro),Inflation,0.1361579080845348,0.146474656784853,0.1687634477950379
XGBoost (Macro+Sent),Growth,0.26309649111973216,0.47653555138047804,0.5559283408095178
XGBoost (Macro+Sent),Inflation,0.11215324873090428,0.12202895201400696,0.1321347589280208
