model_label,percentile,normal_n,extreme_n,normal_mean,extreme_mean,mean_diff,normal_std,extreme_std,normal_p5,extreme_p5,normal_p95,extreme_p95
Macro + Sentiment - PCA Distance,99,423,5,0.005506680255469779,-0.0014841044751299826,-0.006990784730599761,0.04202996474065428,0.07658412439342421,-0.07108370483392662,-0.083159841227292,0.06943445767387756,0.10503303550439141
Macro + Sentiment - PCA Distance,95,406,17,0.0065115472371238626,-0.018491907659327754,-0.025003454896451616,0.03984546530808501,0.07374274389474342,-0.0628888420304427,-0.13430653269614912,0.06898857082255952,0.07597263729028625
Macro + Sentiment - PCA Distance,90,385,21,0.005994759653944581,0.015985986262077357,0.009991226608132776,0.03933309336955938,0.04729442339560005,-0.0628995082406241,-0.0475844910501471,0.06835062041117444,0.0800833612692397
Macro + Sentiment - PCA Distance,80,342,43,0.006152006020094599,0.004744102509216522,-0.001407903510878077,0.03763217767618104,0.050857978964017815,-0.06257273058997233,-0.08846045733742487,0.0657038275935178,0.07687324515021553
