model_label,percentile,normal_n,extreme_n,normal_mean,extreme_mean,mean_diff,normal_std,extreme_std,normal_p5,extreme_p5,normal_p95,extreme_p95
Macro Only - PCA Distance,99,423,5,0.005707201758083313,-0.018448223596235044,-0.024155425354318357,0.04138950258156146,0.09928084064449617,-0.07108370483392662,-0.15101631771171226,0.06943445767387756,0.10503303550439141
Macro Only - PCA Distance,95,406,17,0.006388568992637749,-0.010565451020099077,-0.016954020012736826,0.038878717584657295,0.07905924188213803,-0.06270681839794438,-0.11319855139615041,0.06700005838042986,0.09657624875769263
Macro Only - PCA Distance,90,385,21,0.006702199629671908,0.000638673980344842,-0.006063525649327066,0.03774306039688439,0.05542548795507943,-0.06246247358228108,-0.0875389607339445,0.06634521565473486,0.0691026026518171
Macro Only - PCA Distance,80,342,43,0.006098491546546926,0.011503784848945016,0.00540529330239809,0.03625443975406366,0.04769376091458688,-0.06257273058997233,-0.05782570701137072,0.05865355343786016,0.07975358036488701
