regime_id,regime_name,n_observations,pct_of_total,avg_growth,std_growth,avg_inflation,std_inflation,avg_policy,avg_volatility,avg_erp,std_erp,erp_volatility,erp_skew,erp_kurtosis,erp_min,erp_max,erp_p5,erp_p95,start_date,end_date
0,Goldilocks,116,27.102803738317753,0.5717136988658672,0.3244726671329942,0.07245189108482487,0.10154424824524273,2.6685344827586204,19.07,0.0059562008025398775,0.04323949152277298,0.038124813183909305,-0.8384941828175217,2.9374341398636354,-0.1700235138744236,0.1077079588343148,-0.062088039375376276,0.07369616724530235,1991-06-01,2025-04-01
1,Overheating,98,22.897196261682243,0.7358772989443138,0.7724436901277567,0.33404798826064686,0.1276611791437961,3.1117346938775508,18.705612244897956,0.007206052607181791,0.037716649363171095,0.038733286588534234,-0.2400289811470621,0.14243809856687406,-0.101360449353467,0.0913541901813361,-0.053689012928820015,0.06915791182216051,1990-02-01,2025-06-01
2,Stagflation,116,27.102803738317753,-0.263271854410256,0.4306693418207996,0.3105325743762792,0.14843326469971263,2.9850862068965505,19.172844827586207,0.00153130241825669,0.039262182623382484,0.03828358112276769,-0.5238051399812009,0.705386409271489,-0.1113418335580195,0.1080951685482503,-0.07669005555894792,0.05570905304397982,1990-01-01,2025-08-01
3,Slowdown,98,22.897196261682243,-0.5779079078954396,1.4843227357095055,0.014268377297636586,0.18915704399261715,2.7261224489795914,21.31826530612245,0.007624098944610705,0.0501499046103848,0.04243425031340694,-0.4860278919004968,-0.1569064068505912,-0.1253772874015805,0.1267290173024282,-0.08543597173995661,0.07717573080121835,1990-11-01,2025-07-01
